date,AAPL,MSFT,WMT,XOM
2010-08-25,;1.13488210818;,;0.790274684484;,;0.967103710473;,;0.869565217391;
2010-08-26,;1.12274618585;,;0.780994803267;,;0.956222654292;,;0.86325921009;
2010-08-27,;1.12898751734;,;0.784706755754;,;0.956785442986;,;0.882675074676;
2010-08-30,;1.13314840499;,;0.775055679287;,;0.948343208673;,;0.870892797876;
2010-08-31,;1.1359223301;,;0.769487750557;,;0.940651408887;,;0.872552273482;
2010-09-01,;1.16955617198;,;0.783593170007;,;0.960537551849;,;0.899103883173;
2010-09-02,;1.17822468793;,;0.784706755754;,;0.971043380137;,;0.90126120146;
2010-09-03,;1.20908460472;,;0.796213808463;,;0.976296379313;,;0.905077995353;
2010-09-07,;1.20457697642;,;0.785449146251;,;0.972919477085;,;0.893793561235;
2010-09-08,;1.22850208044;,;0.784706755754;,;0.972356688391;,;0.896614669764;
2010-09-09,;1.22919556172;,;0.787305122494;,;0.973857493672;,;0.9010952539;
2010-09-10,;1.23058252427;,;0.782108389013;,;0.974983156092;,;0.903252572187;
2010-09-13,;1.24757281553;,;0.823311061618;,;0.979485635708;,;0.900431463657;
2010-09-14,;1.25242718447;,;0.820712694878;,;0.987927870021;,;0.900597411218;
2010-09-15,;1.26248266297;,;0.823682256867;,;0.991679978885;,;0.900431463657;
2010-09-16,;1.29230235784;,;0.830363771344;,;0.997120538862;,;0.899933620976;
2010-09-17,;1.28675450763;,;0.827023014105;,;0.994494007387;,;0.897112512446;
2010-09-20,;1.32350901526;,;0.833704528582;,;1.00443713201;,;0.908562894125;
2010-09-21,;1.32593619972;,;0.824424647365;,;1.00499992071;,;0.908396946565;
2010-09-22,;1.34431345354;,;0.806978470676;,;1.00969004616;,;0.90706936608;
2010-09-23,;1.34986130374;,;0.801039346696;,;1.00650078976;,;0.902588781945;
2010-09-24,;1.36581137309;,;0.812546399406;,;1.01456781744;,;0.911384002655;
2010-09-27,;1.36026352288;,;0.810690423163;,;1.00331146959;,;0.910886159973;
2010-09-28,;1.34015256588;,;0.809205642168;,;1.00969004616;,;0.916030534351;
2010-09-29,;1.34257975035;,;0.803266518189;,;1.00087258395;,;0.909060736807;
2010-09-30,;1.32593619972;,;0.80289532294;,;1.00406190412;,;0.912047792897;
2010-10-01,;1.32004160888;,;0.799183370453;,;1.00106022978;,;0.923166279456;
2010-10-04,;1.3020110957;,;0.783964365256;,;1.00499992071;,;0.918021905078;
2010-10-05,;1.34986130374;,;0.798440979955;,;1.01306692713;,;0.933786923332;
2010-10-06,;1.3512482663;,;0.801039346696;,;1.02357284045;,;0.943743776966;
2010-10-07,;1.3512482663;,;0.804380103935;,;1.01982073158;,;0.942416196482;
2010-10-08,;1.3741331484;,;0.805493689681;,;1.02075874817;,;0.950215731829;
2010-10-11,;1.38002773925;,;0.806236080178;,;1.02451085703;,;0.952704945237;
2010-10-12,;1.39493758669;,;0.814031180401;,;1.01156605807;,;0.955028211085;
2010-10-13,;1.40221914008;,;0.830734966592;,;1.00969004616;,;0.960006637902;
2010-10-14,;1.41262135922;,;0.827023014105;,;0.998996572036;,;0.963823431796;
2010-10-15,;1.47052704577;,;0.837416481069;,;1.00087258395;,;0.96216395619;
2010-10-18,;1.48578363384;,;0.846696362287;,;1.00856438374;,;0.978260869565;
2010-10-19,;1.44590846047;,;0.82293986637;,;1.00030979526;,;0.961168270826;
